key	accession	kh_index	organism	domain_of_life	protein_name	entry_name	domain_start	domain_end	seq_length	has_pdb	source_group
Q5U5Q3_KH1	Q5U5Q3	1	Homo sapiens	Eukaryota	RNA-binding E3 ubiquitin-protein ligase MEX3C	MEX3C_HUMAN	232	293	62	5WWW	mandatory
Q5U5Q3_KH2	Q5U5Q3	2	Homo sapiens	Eukaryota	RNA-binding E3 ubiquitin-protein ligase MEX3C	MEX3C_HUMAN	326	387	62	5WWW	mandatory
Q15366_KH1	Q15366	1	Homo sapiens	Eukaryota	Poly(rC)-binding protein 2	PCBP2_HUMAN	13	75	63	2P2R	mandatory
Q15366_KH2	Q15366	2	Homo sapiens	Eukaryota	Poly(rC)-binding protein 2	PCBP2_HUMAN	97	162	66	2P2R	mandatory
Q15366_KH3	Q15366	3	Homo sapiens	Eukaryota	Poly(rC)-binding protein 2	PCBP2_HUMAN	287	351	65	2P2R	mandatory
Q9UNW9_KH1	Q9UNW9	1	Homo sapiens	Eukaryota	RNA-binding protein Nova-2	NOVA2_HUMAN	32	99	68	1EC6	mandatory
Q9UNW9_KH2	Q9UNW9	2	Homo sapiens	Eukaryota	RNA-binding protein Nova-2	NOVA2_HUMAN	130	196	67	1EC6	mandatory
Q9UNW9_KH3	Q9UNW9	3	Homo sapiens	Eukaryota	RNA-binding protein Nova-2	NOVA2_HUMAN	406	473	68	1EC6	mandatory
Q15365_KH1	Q15365	1	Homo sapiens	Eukaryota	Poly(rC)-binding protein 1	PCBP1_HUMAN	13	75	63	1ZTG	mandatory
Q15365_KH2	Q15365	2	Homo sapiens	Eukaryota	Poly(rC)-binding protein 1	PCBP1_HUMAN	97	162	66	1ZTG	mandatory
Q15365_KH3	Q15365	3	Homo sapiens	Eukaryota	Poly(rC)-binding protein 1	PCBP1_HUMAN	279	343	65	1ZTG	mandatory
Q97BZ6_KH1	Q97BZ6	1	Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1)	Archaea	Exosome complex component Rrp4	RRP4_THEVO	141	199	59		Other_Archaea
Q6L222_KH1	Q6L222	1	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3)	Archaea	Exosome complex component Rrp4	RRP4_PICTO	137	195	59		Other_Archaea
A1RXQ7_KH1	A1RXQ7	1	Thermofilum pendens (strain DSM 2475 / Hrk 5)	Archaea	Exosome complex component Rrp4	RRP4_THEPD	152	211	60		Other_Archaea
A9A5C8_KH1	A9A5C8	1	Nitrosopumilus maritimus (strain SCM1)	Archaea	Exosome complex component Rrp4	RRP4_NITMS	141	200	60		Other_Archaea
P05055_KH1	P05055	1	Escherichia coli (strain K12)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_ECOLI	553	612	60		Proteobacteria
Q8ZLT3_KH1	Q8ZLT3	1	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_SALTY	553	612	60		Proteobacteria
A1K7B5_KH1	A1K7B5	1	Azoarcus sp. (strain BH72)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_AZOSB	554	613	60		Proteobacteria
A1ST53_KH1	A1ST53	1	Psychromonas ingrahamii (strain DSM 17664 / CCUG 51855 / 37)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_PSYIN	552	611	60		Proteobacteria
