pfam_id	name	age_class	rna_union	dna_binding	seq_length	rep_accession	entry_name	stage1_pred	stage1_prob	stage2_pred	stage2_prob
PF00009	Selenocysteine-specific elongation factor	preLUCA	True	False	614	P14081	SELB_ECOLI	NABP	0.9974	RNA	1.0
PF00013	Polyribonucleotide nucleotidyltransferase	LUCA	True	False	711	P05055	PNP_ECOLI	NABP	1.0	RNA	1.0
PF00133	Isoleucine--tRNA ligase	preLUCA	True	False	938	P00956	SYI_ECOLI	NABP	0.8146	RNA	1.0
PF00136	DNA polymerase II	LUCA	False	True	783	P21189	DPO2_ECOLI	NABP	0.8914	DNA	1.0
PF00152	Elongation factor P--(R)-beta-lysine ligase	LUCA	True	False	325	P0A8N7	EPMA_ECOLI	non-NABP	0.5084	RNA	1.0
PF00270	Replication restart protein PriA	LUCA	True	False	732	P17888	PRIA_ECOLI	NABP	1.0	DNA	1.0
PF00330	Aconitate hydratase A	LUCA	True	False	891	P25516	ACNA_ECOLI	non-NABP	0.982	RNA	0.8358
PF00347	Large ribosomal subunit protein uL6	LUCA	True	False	177	P0AG55	RL6_ECOLI	NABP	0.9998	RNA	1.0
PF00398	Ribosomal RNA small subunit methyltransferase A	LUCA	True	False	273	P06992	RSMA_ECOLI	NABP	1.0	DNA	0.9998
PF00448	Signal recognition particle receptor FtsY	LUCA	True	False	497	P10121	FTSY_ECOLI	non-NABP	0.8893	RNA	0.9921
PF00466	Large ribosomal subunit protein uL10	LUCA	True	False	165	P0A7J3	RL10_ECOLI	NABP	1.0	RNA	1.0
PF00488	DNA mismatch repair protein MutS	LUCA	False	True	853	P23909	MUTS_ECOLI	NABP	1.0	DNA	1.0
PF00565	Uncharacterized protein MJ1439	LUCA	True	False	207	Q58834	Y1439_METJA	non-NABP	0.9998	DNA	0.9978
PF00573	Large ribosomal subunit protein uL4	LUCA	True	False	201	P60723	RL4_ECOLI	NABP	1.0	DNA	0.881
PF00575	Transcription termination/antitermination protein NusA	LUCA	True	False	495	P0AFF6	NUSA_ECOLI	NABP	0.9712	RNA	1.0
PF00579	Tyrosine--tRNA ligase	LUCA	True	False	424	P0AGJ9	SYY_ECOLI	NABP	0.9834	RNA	1.0
PF00580	ATP-dependent DNA helicase Rep	LUCA	True	False	673	P09980	REP_ECOLI	NABP	0.9999	DNA	1.0
PF00587	Threonine--tRNA ligase	preLUCA	True	False	642	P0A8M3	SYT_ECOLI	NABP	0.9996	RNA	1.0
PF00588	tRNA (cytidine(34)-2'-O)-methyltransferase	LUCA	True	False	157	P0AGJ7	TRML_ECOLI	NABP	0.993	RNA	1.0
PF00589	Tyrosine recombinase XerC	LUCA	False	True	298	P0A8P6	XERC_ECOLI	NABP	1.0	DNA	1.0
PF00633	Endonuclease III	LUCA	False	True	211	P0AB83	END3_ECOLI	NABP	0.9525	DNA	1.0
PF00749	Glutamate--tRNA ligase	LUCA	True	False	471	P04805	SYE_ECOLI	NABP	1.0	RNA	1.0
PF00750	Arginine--tRNA ligase	LUCA	True	False	577	P11875	SYR_ECOLI	non-NABP	0.9968	RNA	1.0
PF00753	Hydroxyacylglutathione hydrolase GloB	LUCA	True	False	251	P0AC84	GLO2_ECOLI	non-NABP	1.0	DNA	0.9991
PF01042	3-aminoacrylate deaminase RutC	LUCA	True	False	128	P0AFQ5	RUTC_ECOLI	non-NABP	1.0	RNA	0.9968
PF01131	DNA topoisomerase 3	LUCA	False	True	653	P14294	TOP3_ECOLI	NABP	0.9999	DNA	1.0
PF01142	tRNA pseudouridine synthase D	LUCA	True	False	349	Q57261	TRUD_ECOLI	NABP	1.0	RNA	1.0
