pfam_id	pfam_name	category	has_rna	has_dna	is_dual	rna_count	dna_count	cross_domain	relevance_score	example_pdbs
PF02171	Piwi	dual_binder_candidate	yes	yes	DUAL	75	11	Bac+Arc+Euk	19	1YTU,2BGG,2F8S,2F8T,4F1N
PF00136	DNA_pol_B	DNA_replication_control	yes	yes	DUAL	9	196	Bac+Arc+Euk	19	4FXD,4Q5V,7N2M,8FOH,8FOJ
PF00575	S1	structural_RNA_binding	yes	yes	DUAL	308	257	Bac+Arc+Euk	17	1Y1W,1Y1Y,1Y77,2B63,2BX2
PF01479	S4	structural_RNA_binding	yes	yes	DUAL	1689	68	Bac+Arc+Euk	17	1EG0,1FJG,1FKA,1HNW,1HNX
PF00270	DEAD	RNA_processing	yes	yes	DUAL	284	56	Bac+Arc+Euk	17	2DB3,2HYI,2J0Q,2J0S,2XB2
PF01336	tRNA_bind	translation	yes	yes	DUAL	14	11	Bac+Arc+Euk	17	1ASY,1ASZ,1C0A,1IL2,3AMT
PF00013	KH_1	structural_RNA_binding	yes	yes	DUAL	23	10	Bac+Arc+Euk	16	1EC6,2ANN,2ANR,2N8L,2N8M
PF00009	GTP_EFTU	translation	yes	yes	DUAL	390	14	LUCA(assumed)	16	1LS2,1MJ1,1OB2,1ZC8,1ZN0
PF00347	Ribosomal_L6	ribosomal	yes	yes	DUAL	1663	53	LUCA(assumed)	16	1EG0,1FFK,1JJ2,1K73,1K8A
PF00573	Ribosomal_L4	ribosomal	yes	yes	DUAL	1868	60	LUCA(assumed)	16	1FFK,1J5A,1JJ2,1JZX,1JZY
PF00466	Ribosomal_L10	ribosomal	yes	yes	DUAL	538	34	LUCA(assumed)	16	2QA4,3J16,3J77,3J78,3J7P
PF00488	MutS_V	DNA_repair_control	yes	yes	DUAL	1	43	LUCA(assumed)	16	7QV3,1E3M,1NG9,1OH5,1OH6
PF00398	RrnaAD	rRNA_modification	yes	yes	DUAL	27	15	LUCA(assumed)	14	3FTF,4ADV,6YMW,7V2M,7V2P
PF01131	Topoisom_bac	DNA_topology	yes	yes	DUAL	8	27	Bac+Arc+Euk	14	9CA4,9CAG,9GDA,9GDB,9GDC
PF02272	DHHA1	nuclease	yes	yes	DUAL	5	1	Bac+Arc+Euk	13	3WQY,3WQZ,5JJU,5O4Z,5O58
PF03372	Exo_endo_phos	nuclease	yes	yes	DUAL	4	89	LUCA(assumed)	12	8BVH,8UW3,9HDR,9K6I,1DE8
PF01472	PUA	structural_RNA_binding	yes	no		29	0	Bac+Arc+Euk	6	1R3E,1ZE2,2AB4,2HVY,2RFK
PF00633	HHH	dual_binder_candidate	no	yes		0	8	LUCA(assumed)	6	2BGW,2OWO,4GLX,6SXB,7EF8
PF01555	N6_N4_Mtase	DNA_modification_control	no	yes		0	1	Bac+Arc+Euk	6	6PBD
PF00749	tRNA-synt_1c	translation	yes	no		27	0	LUCA(assumed)	5	1EUQ,1EUY,1EXD,1G59,1GSG
PF00588	SpoU_methylase	RNA_modification	yes	no		7	0	Bac+Arc+Euk	5	6YXY,7AM2,7OI6,9HCC,9HCD
PF00133	tRNA-synt_1	translation	yes	no		16	0	LUCA(assumed)	4	3ZGZ,3ZJT,3ZJU,3ZJV,4AQ7
PF00152	tRNA-synt_2	translation	yes	no		12	0	LUCA(assumed)	4	1ASY,1ASZ,1C0A,1IL2,3KFU
PF00587	tRNA-synt_2b	translation	yes	no		18	0	LUCA(assumed)	4	1H4Q,1H4S,1KOG,1QF6,3W3S
PF09339	HTH_IclR	DNA_binding_control	no	no		0	0	LUCA(assumed)	4	none
PF00579	tRNA-synt_1b	translation	yes	no		11	0	LUCA(assumed)	4	1J1U,2AKE,2AZX,2DLC,2DR2
PF00589	Phage_integrase	DNA_recombination	no	yes		0	33	Bac+Arc+Euk	4	1CRX,1DRG,1F44,1KBU,1MA7
PF01509	TruB_N	RNA_modification	yes	no		30	0	LUCA(assumed)	4	1K8W,1R3E,1ZE2,1ZL3,2AB4
PF00565	Ribosomal_S2	ribosomal	no	no		0	0	LUCA(assumed)	3	none
PF00750	tRNA-synt_1d	translation	yes	no		4	0	LUCA(assumed)	3	1F7U,1F7V,5B63,5YYN
PF00448	SRP54	RNA_targeting	yes	no		17	0	LUCA(assumed)	3	1QZW,2J28,2V3C,2XXA,3NDB
PF00580	UvrD-helicase	DNA_repair	no	yes		0	32	LUCA(assumed)	2	1UAA,1W36,2IS1,2IS2,2IS4
PF01926	MMR_HSR1	ribosome_GTPase	yes	no		86	0	LUCA(assumed)	2	1X1L,3IEV,3J8G,3R9W,3R9X
PF01042	Ribonuclease_T2	nuclease	no	no		0	0	LUCA(assumed)	0	none
PF01548	Transglut_core	negative_control	no	no		0	0	LUCA(assumed)	0	none
