pfam_id	pfam_name	age_class	binding_type	functional_category
PF00009	GTP_EFTU	preLUCA	RNA	translation
PF00013	KH_1	LUCA	RNA	rna_binding_structural
PF00133	tRNA-synt_1	preLUCA	RNA	translation
PF00136	DNA_pol_B	LUCA	DNA	dna_replication
PF00152	tRNA-synt_2	LUCA	RNA	translation
PF00270	DEAD	LUCA	RNA	rna_processing
PF00330	Aconitase	LUCA	RNA	other
PF00347	Ribosomal_L6	LUCA	RNA	translation
PF00398	RrnaAD	LUCA	RNA	rna_modification
PF00448	SRP54	LUCA	RNA	translation
PF00466	Ribosomal_L10	LUCA	RNA	translation
PF00488	MutS_V	LUCA	DNA	dna_repair
PF00565	SNase	LUCA	RNA	other
PF00573	Ribosomal_L4	LUCA	RNA	translation
PF00575	S1	LUCA	RNA	rna_binding_structural
PF00579	tRNA-synt_1b	LUCA	RNA	translation
PF00580	UvrD-helicase	LUCA	RNA	rna_processing
PF00587	tRNA-synt_2b	preLUCA	RNA	translation
PF00588	SpoU_methylase	LUCA	RNA	rna_modification
PF00589	Phage_integrase	LUCA	DNA	dna_repair
PF00633	HHH	LUCA	DNA	dna_repair
PF00749	tRNA-synt_1c	LUCA	RNA	translation
PF00750	tRNA-synt_1d	LUCA	RNA	translation
PF00753	Lactamase_B	LUCA	RNA	other
PF01042	Ribonuc_L-PSP	LUCA	RNA	other
PF01131	Topoisom_bac	LUCA	DNA	dna_topology
PF01142	TruD	LUCA	RNA	rna_modification
PF01170	UPF0020	LUCA	RNA	other
PF01189	Methyltr_RsmB-F	LUCA	RNA	rna_modification
PF01207	Dus	LUCA	RNA	rna_modification
PF01300	Sua5_yciO_yrdC	LUCA	RNA	rna_binding_structural
PF01325	Fe_dep_repress	LUCA	DNA	transcription
PF01336	tRNA_anti-codon	preLUCA	RNA	translation
PF01411	tRNA-synt_2c	LUCA	RNA	translation
PF01420	Methylase_S	LUCA	DNA	dna_modification
PF01472	PUA	LUCA	RNA	rna_binding_structural
PF01479	S4	LUCA	RNA	rna_binding_structural
PF01509	TruB_N	LUCA	RNA	rna_modification
PF01548	DEDD_Tnp_IS110	LUCA	DNA	dna_repair
PF01555	N6_N4_Mtase	LUCA	DNA	dna_modification
PF01588	tRNA_bind	LUCA	RNA	translation
PF01850	PIN	LUCA	RNA	rna_processing
PF01878	EVE	LUCA	RNA	rna_binding_structural
PF01926	MMR_HSR1	LUCA	RNA	translation
PF01936	NYN	LUCA	RNA	rna_processing
PF02171	Piwi	LUCA	RNA	other
PF02272	DHHA1	LUCA	RNA	rna_processing
PF02475	Met_10	LUCA	RNA	rna_modification
PF02586	SRAP	LUCA	DNA	dna_repair
PF02732	ERCC4	LUCA	DNA	dna_repair
PF02834	LigT_PEase	LUCA	RNA	other
PF02881	SRP54_N	LUCA	RNA	translation
PF02899	Phage_int_SAM_1	LUCA	DNA	dna_repair
PF03129	HGTP_anticodon	LUCA	RNA	translation
PF03372	Exo_endo_phos	preLUCA	RNA	rna_processing
PF03483	B3_4	LUCA	RNA	translation
PF03485	Arg_tRNA_synt_N	LUCA	RNA	translation
PF03737	RraA-like	LUCA	RNA	other
PF03989	DNA_gyraseA_C	LUCA	DNA	dna_topology
PF04014	MazE_antitoxin	LUCA	DNA	other
PF04266	ASCH	preLUCA	RNA	other
PF04471	Mrr_cat	LUCA	DNA	dna_modification
PF04851	ResIII	preLUCA	RNA	other
PF05191	ADK_lid	LUCA	RNA	other
PF06733	DEAD_2	LUCA	DNA	rna_processing
PF06827	zf-FPG_IleRS	LUCA	RNA	translation
PF07521	RMMBL	LUCA	RNA	other
PF07650	KH_2	LUCA	RNA	rna_binding_structural
PF07973	tRNA_SAD	LUCA	RNA	translation
PF08264	Anticodon_1	LUCA	RNA	translation
PF08443	RimK	LUCA	RNA	other
PF08463	EcoEI_R_C	LUCA	DNA	dna_modification
PF08494	DEAD_assoc	LUCA	RNA	rna_processing
PF09190	DALR_2	LUCA	RNA	translation
PF09334	tRNA-synt_1g	LUCA	RNA	translation
PF09339	HTH_IclR	LUCA	DNA	transcription
PF09414	RNA_ligase	LUCA	RNA	rna_processing
PF10130	PIN_2	LUCA	RNA	rna_processing
PF10996	Beta-Casp	LUCA	RNA	rna_processing
PF11799	IMS_C	LUCA	DNA	dna_repair
PF13404	HTH_AsnC-type	LUCA	DNA	transcription
PF13495	Phage_int_SAM_4	LUCA	DNA	dna_repair
PF13847	Methyltransf_31	preLUCA	RNA	rna_modification
