pfam_id	pfam_name	binding_type	functional_category	tier	species_short	species_name	domain_of_life	taxon_id	uniprot_acc	entry_name	protein_name	gene_name	length	has_structure	pdb_count	pdb_ids
PF00575	S1	RNA	rna_binding_structural	1	eco	Escherichia coli K-12	Bacteria	83333	P0AFF6	NUSA_ECOLI	Transcription termination/antitermination protein NusA	nusA	495	True	62	1U9L,1WCL,1WCN,2JZB,2KWP
PF00575	S1	RNA	rna_binding_structural	1	bsu	Bacillus subtilis 168	Bacteria	224308	O32231	RNR_BACSU	Ribonuclease R	rnr	779	True	5	8CDU,8CDV,8CEC,8CED,8CEE
PF00575	S1	RNA	rna_binding_structural	1	tth	Thermus thermophilus	Bacteria	274	Q5SJ75	PNP_THET8	Polyribonucleotide nucleotidyltransferase	pnp	713	False	0	
PF00575	S1	RNA	rna_binding_structural	1	mja	Methanocaldococcus jannaschii DSM 2661	Archaea	243232	Q57840	RPO7_METJA	DNA-directed RNA polymerase subunit Rpo7	rpo7	187	True	1	1GO3
PF00575	S1	RNA	rna_binding_structural	1	sso	Sulfolobus solfataricus P2	Archaea	273057	Q97Z79	IF2A_SACS2	Translation initiation factor 2 subunit alpha	eif2a	266	True	10	2AHO,2QMU,2QN6,3CW2,3QSY
PF00575	S1	RNA	rna_binding_structural	1	sce	Saccharomyces cerevisiae S288C	Eukarya	559292	P20459	IF2A_YEAST	Eukaryotic translation initiation factor 2 subunit alpha	SUI2	304	True	30	1Q46,2A19,2A1A,3J81,3JAP
PF00575	S1	RNA	rna_binding_structural	1	hsa	Homo sapiens	Eukarya	9606	Q8TCS8	PNPT1_HUMAN	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	PNPT1	783	True	4	3U1K,5ZF6,9KJR,9KJT
PF00575	S1	RNA	rna_binding_structural	1	ath	Arabidopsis thaliana	Eukarya	3702	Q9S7G6	PNP2_ARATH	Polyribonucleotide nucleotidyltransferase 2, mitochondrial	PNP2	991	False	0	
PF00270	DEAD	RNA	rna_processing	1	eco	Escherichia coli K-12	Bacteria	83333	P17888	PRIA_ECOLI	Replication restart protein PriA	priA	732	True	8	2D7E,2D7G,2D7H,2DWL,2DWM
PF00270	DEAD	RNA	rna_processing	1	bsu	Bacillus subtilis 168	Bacteria	224308	P42305	DBPA_BACSU	ATP-dependent RNA helicase DbpA	dbpA	479	True	3	2G0C,2HJV,3MOJ
PF00270	DEAD	RNA	rna_processing	1	mja	Methanocaldococcus jannaschii DSM 2661	Archaea	243232	Q58524	HELS_METJA	ATP-dependent DNA helicase Hel308	hel308	1195	False	0	
PF00270	DEAD	RNA	rna_processing	1	sso	Sulfolobus solfataricus P2	Archaea	273057	Q97ZF5	RGYR2_SACS2	Reverse gyrase 2	rgy2	1166	False	0	
PF00270	DEAD	RNA	rna_processing	1	sce	Saccharomyces cerevisiae S288C	Eukarya	559292	P20449	DBP5_YEAST	ATP-dependent RNA helicase DBP5	DBP5	482	True	10	2KBE,2KBF,3GFP,3PEU,3PEV
