pfam_id	age_class	rna_go	rna_rbpworld	rna_union	dna_binding	in_green51	in_universal415
PF00004	LUCA	False	False	False	False	False	False
PF00005	preLUCA	False	False	False	False	False	False
PF00006	LBCA	False	False	False	False	False	False
PF00009	preLUCA	True	True	True	False	False	False
PF00011	LUCA	False	False	False	False	False	False
PF00012	LBCA	False	False	False	False	False	False
PF00013	LUCA	True	True	True	False	False	True
PF00015	LBCA	False	False	False	False	False	False
PF00016	LUCA	False	False	False	False	False	False
PF00023	LBCA	False	False	False	False	False	False
PF00024	Proteobacteria	False	False	False	False	False	False
PF00025	unclassifiable	False	False	False	False	False	False
PF00027	LBCA	False	False	False	False	False	False
PF00028	LBCA	False	False	False	False	False	False
PF00030	unclassifiable	False	False	False	False	False	False
PF00032	LBCA	False	False	False	False	False	False
PF00033	LBCA	False	False	False	False	False	False
PF00034	LBCA	False	False	False	False	False	False
PF00035	LBCA	False	True	True	False	False	False
PF00036	LBCA	False	False	False	False	False	False
PF00037	LUCA	False	False	False	False	False	False
PF00041	LUCA	False	False	False	False	False	False
PF00042	LBCA	False	False	False	False	False	False
PF00043	unclassifiable	False	False	False	False	False	False
PF00044	LBCA	False	False	False	False	False	False
PF00045	LBCA	False	False	False	False	False	False
PF00046		False	False	False	True	False	True
PF00050	LBCA	False	False	False	False	False	False
PF00056	unclassifiable	False	False	False	False	False	False
PF00059	LBCA	False	False	False	False	False	False
PF00060	LBCA	False	False	False	False	False	False
PF00067	LUCA	False	False	False	False	False	False
PF00069	LUCA	False	False	False	False	False	False
PF00070	unclassifiable	False	False	False	False	False	False
PF00071	LACA	False	False	False	False	False	False
PF00072	preLUCA	False	False	False	False	False	False
PF00074		False	True	True	False	False	False
PF00075	post-LBCA	True	True	True	False	False	True
PF00076	LBCA	True	True	True	False	False	True
PF00078	LBCA	False	True	True	False	False	False
PF00079	LBCA	False	False	False	False	False	False
PF00080	LBCA	False	False	False	False	False	False
PF00081	LUCA	False	False	False	False	False	False
PF00082	LUCA	False	False	False	False	False	False
PF00083	LUCA	False	False	False	False	False	False
PF00085	LUCA	False	False	False	False	False	False
PF00089	LBCA	False	False	False	False	False	False
PF00091	LACA	False	False	False	False	False	False
PF00092	LUCA	False	False	False	False	False	False
PF00096	unclassifiable	False	True	True	False	False	False
PF00098		True	True	True	False	False	True
PF00101	post-LBCA	False	False	False	False	False	False
PF00102	unclassifiable	False	False	False	False	False	False
PF00105		False	False	False	True	False	False
PF00106	LUCA	False	False	False	False	False	False
PF00107	preLUCA	False	False	False	False	False	False
PF00108	LUCA	False	False	False	False	False	False
PF00109	LBCA	False	False	False	False	False	False
PF00111	LUCA	False	False	False	False	False	False
PF00112	LUCA	False	False	False	False	False	False
PF00113	LACA	False	False	False	False	False	False
PF00114	Proteobacteria	False	False	False	False	False	False
PF00115	LBCA	False	False	False	False	False	False
PF00116	unclassifiable	False	False	False	False	False	False
PF00117	preLUCA	False	False	False	False	False	False
PF00118	post-LBCA	False	False	False	False	False	False
PF00119	post-LBCA	False	False	False	False	False	False
PF00120	LBCA	False	False	False	False	False	False
PF00121	LACA	False	False	False	False	False	False
PF00122	LUCA	False	False	False	False	False	False
PF00124	post-LBCA	False	False	False	False	False	False
PF00125		False	False	False	True	False	True
PF00126	LBCA	False	False	False	False	False	False
PF00127	LUCA	False	False	False	False	False	False
PF00128	LUCA	False	False	False	False	False	False
PF00132	LUCA	False	False	False	False	False	False
PF00133	preLUCA	True	True	True	False	False	False
PF00135	post-LBCA	False	False	False	False	False	False
PF00136	LUCA	False	False	False	True	False	True
PF00137	LBCA	False	False	False	False	False	False
PF00140	LBCA	False	False	False	True	False	True
PF00141	unclassifiable	False	False	False	False	False	False
PF00142	unclassifiable	False	False	False	False	False	False
PF00144	LUCA	False	False	False	False	False	False
PF00145	LUCA	False	False	False	False	False	False
PF00146	LUCA	False	False	False	False	False	False
PF00148	LBCA	False	False	False	False	False	False
PF00149	preLUCA	False	False	False	False	False	False
PF00150	LUCA	False	False	False	False	False	False
PF00152	LUCA	True	True	True	False	False	False
PF00154	unclassifiable	False	False	False	False	False	False
PF00155	preLUCA	False	False	False	False	False	False
PF00156	LUCA	False	False	False	False	False	False
PF00158	LBCA	False	False	False	False	False	False
PF00160	post-LBCA	False	False	False	False	False	False
PF00162	LACA	False	False	False	False	False	False
PF00163	Inspect	True	True	True	False	False	False
PF00164	LACA	True	True	True	False	False	False
PF00165	LBCA	False	False	False	True	False	False
PF00166	LBCA	False	False	False	False	False	False
PF00171	LUCA	False	False	False	False	False	False
PF00173	LBCA	False	False	False	False	False	False
PF00174	LUCA	False	False	False	False	False	False
PF00175	LUCA	False	False	False	False	False	False
PF00176	LUCA	False	False	False	False	False	False
PF00177	Inspect	False	True	True	False	False	False
PF00178		False	False	False	True	False	False
PF00180	LUCA	False	False	False	False	False	False
PF00181	Euryarchaeota	False	True	True	False	False	False
PF00182	LBCA	False	False	False	False	False	False
PF00183	LBCA	False	False	False	False	False	False
PF00185	LUCA	False	False	False	False	False	False
PF00186	LBCA	False	False	False	False	False	False
PF00188	LUCA	False	False	False	False	False	False
PF00189	TACK	True	True	True	False	False	False
PF00190	LBCA	False	False	False	False	False	False
PF00194	LBCA	False	False	False	False	False	False
PF00195	LBCA	False	False	False	False	False	False
PF00196	LBCA	False	False	False	False	False	False
PF00198	LUCA	False	False	False	False	False	False
PF00199	LBCA	False	False	False	False	False	False
PF00201	LBCA	False	False	False	False	False	False
PF00202	preLUCA	False	False	False	False	False	False
PF00203	Inspect	True	True	True	False	False	False
PF00204	unclassifiable	False	False	False	True	False	True
PF00205	LUCA	False	False	False	False	False	False
PF00206	LUCA	False	False	False	False	False	False
PF00207	LBCA	False	False	False	False	False	False
