pfam_id	age	rna_annotated	dna_annotated	n_rna_pdb	n_dna_pdb	rna_pdb	rna_SI	rna_bb_frac	rna_base_frac	rna_2oh_frac	rna_contacts	rna_method	dna_pdb	dna_SI	dna_bb_frac	dna_base_frac	dna_2oh_frac	dna_contacts	dna_method	delta_SI	DI	generalism_mode
PF00009	preLUCA	True	False	390	14	9DTR	0.6873	0.2664	0.5185	0.0670	5327	pure	8RO0									incomplete
PF00013	LUCA	True	False	23	10	1EC6	0.9318	0.0582	0.6962	0.0987	395	pure(Nova-KH3+RNA)	1ZTG	0.8658	0.1076	0.6944	0.0000	288	pure(PCBP1-KH1+DNA)	0.0659	0.0381	base_generalist
PF00136	LUCA	False	True	9	196	4Q5V	0.2561	0.5701	0.0701	0.1262	214	split(RNA:B,F,DNA:C,G)	3QEX	0.2238	0.5821	0.1679	0.0000	280	pure	0.0323	0.0673	backbone_generalist
PF00270	LUCA	True	False	284	56	3PEY	0.4030	0.5063	0.2089	0.1329	158	pure	6CRM	0.5746	0.3477	0.4695	0.0000	279	pure	-0.1716	0.1755	moderate
PF00347	LUCA	True	False	1663	53	8GLP							6X7K									incomplete
PF00398	LUCA	True	False	27	15	8CSQ	0.5707	0.3474	0.3632	0.0985	4223	pure	9MN5	0.4603	0.4183	0.3567	0.0000	471	pure	0.1104	0.1071	moderate
PF00466	LUCA	True	False	538	34	8PV7							6X7K									incomplete
PF00488	LUCA	False	True	1	43	7QV3							8RB1	0.2146	0.5833	0.1594	0.0000	276	pure			incomplete
PF00573	LUCA	True	False	1868	60	8GLP							6X7K									incomplete
PF00575	LUCA	True	False	308	257	7DID	0.4493	0.4086	0.2366	0.0968	93	pure	9HVQ	0.4592	0.3759	0.3191	0.0000	282	split(RNA:P,DNA:N,T)	-0.0099	0.0109	backbone_generalist
PF00753	LUCA	True	False	9	1	5A0T	0.4846	0.4340	0.3278	0.0802	424	pure	8DQ1	0.4524	0.4600	0.3800	0.0000	100	pure	0.0322	0.0344	backbone_generalist
PF01131	LUCA	False	True	8	27	9GDA	0.4000	0.4615	0.1538	0.1538	104	split(RNA:R,DNA:N,T)	1MW8	0.6471	0.2951	0.5410	0.0000	183	pure	-0.2471	0.2360	moderate
PF01336	preLUCA	True	False	14	11	1C0A	0.6612	0.2661	0.4335	0.0858	466	pure	3F2B	0.2324	0.5569	0.1686	0.0000	255	pure	0.4288	0.4798	specialist
PF01479	LUCA	True	False	1689	68	4LGT	0.6108	0.3320	0.4199	0.1010	762	pure	9GUW	0.4857	0.3750	0.3542	0.0000	384	split	0.1251	0.1141	moderate
PF01588	LUCA	True	False	10	1	7K98	0.6807	0.2520	0.4000	0.1380	812	pure	7D8T	0.3486	0.5726	0.3065	0.0000	124	pure	0.3321	0.3227	specialist
PF02171	LUCA	True	False	75	11	4Z4D	0.5361	0.3541	0.2722	0.1370	562	pure	6T5T	0.6772	0.2735	0.5740	0.0000	223	pure	-0.1411	0.1163	moderate
PF02272	LUCA	True	False	5	1	5O58	0.8112	0.1731	0.6795	0.0641	156	pure	7BJQ	0.7356	0.2212	0.6154	0.0000	208	pure	0.0756	0.0488	generalist
PF03129	LUCA	True	False	13	38	4YYE	0.7489	0.2077	0.5288	0.0908	573	pure	8F69	0.1579	0.6400	0.1200	0.0000	75	pure	0.5911	0.6518	specialist
PF03372	preLUCA	True	False	4	89	9HDR	0.3804	0.5000	0.1579	0.1491	114	split(RNA:D,DNA:B,C,E,F,G)	5HT2	0.6301	0.2500	0.4259	0.0000	108	pure	-0.2497	0.2471	moderate
PF04851	preLUCA	True	True	25	70	9LOV	0.2517	0.5718	0.0408	0.1515	759	pure	2D7D	0.2553	0.4667	0.1600	0.0000	75	pure	-0.0036	0.0071	backbone_generalist
PF06733	LUCA	False	True	10	72	7ML4	0.1707	0.5667	0.0167	0.1000	60	split(RNA:P,DNA:N,T)	4A15	0.7848	0.1889	0.6889	0.0000	90	pure	-0.6141	0.6426	specialist
PF07521	LUCA	True	False	13	4	9BCU	0.7778	0.1835	0.5719	0.0701	556	split(RNA:7,DNA:5,6)	9BCU	0.2906	0.5161	0.2115	0.0000	279	split(RNA:7,DNA:5,6)	0.4871	0.4559	specialist
PF07650	LUCA	True	False	1436	66	8CF1	0.4696	0.4280	0.2690	0.1100	2686	pure	9GUW	0.4857	0.3750	0.3542	0.0000	384	split	-0.0161	0.0169	backbone_generalist
PF10996	LUCA	True	False	10	4	9BCU	0.7778	0.1835	0.5719	0.0701	556	split(RNA:7,DNA:5,6)	9BCU	0.2906	0.5161	0.2115	0.0000	279	split(RNA:7,DNA:5,6)	0.4871	0.4559	specialist
