name	pdb_id	category	target_na	description	SI	bb_frac	base_frac	oh_frac	n_contacts	na_type	method
U1A RRM	1URN	RNA_specialist	RNA	U1A spliceosomal protein + U1 snRNA hairpin	0.9123630672926447	0.07810320781032078	0.7852161785216178	0.02789400278940028	717	RNA	split(RNA)
MS2 coat	1AQ3	RNA_specialist	RNA	MS2 coat protein + RNA stem-loop	0.8680555555555556	0.12101910828025478	0.7579617834394905	0.03821656050955414	157	RNA	split(RNA)
PUF/Pumilio	3Q0P	RNA_specialist	RNA	human PUF domain + NRE RNA	0.9910025706940874	0.008083140877598153	0.8625866050808314	0.02771362586605081	866	RNA	split(RNA)
PAZ domain	1SI3	RNA_specialist	RNA	Argonaute PAZ + siRNA	0.43564356435643564	0.4453125	0.2109375	0.1328125	128	RNA	split(RNA)
dsRBD (Xlrbpa)	1DI2	RNA_specialist	RNA	Xenopus dsRBD + dsRNA	0.4818181818181818	0.31843575418994413	0.1005586592178771	0.19553072625698323	179	RNA	split(RNA)
Pumilio repeat	3BSX	RNA_specialist	RNA	C. elegans FBF-2 + RNA	0.9829476248477467	0.016018306636155607	0.8913043478260869	0.032036613272311214	874	RNA	split(RNA)
Fox-1 RRM	2ERR	RNA_specialist	RNA	Fox-1 RRM + UGCAUGU RNA	0.9105691056910569	0.07829181494661921	0.7580071174377224	0.03914590747330961	281	RNA	split(RNA)
hnRNP A1 RRM	2UP1	RNA_specialist	RNA	hnRNP A1 RRM + telomeric RNA	0.9438775510204082	0.04680851063829787	0.7872340425531915	0.0	235	DNA	pure
SRSF1 RRM	6HPJ	RNA_specialist	RNA	SRSF1 RRM + RNA ESE	0.8350515463917526	0.13793103448275862	0.6120689655172413	0.08620689655172414	232	RNA	split(RNA)
L1 stalk rRNA	4V4Q	RNA_specialist	RNA	ribosomal L1 + rRNA fragment					0	FAIL	FAIL
Lambda repressor	1LMB	DNA_specialist	DNA	Lambda cI repressor + operator DNA	0.49047619047619045	0.47555555555555556	0.4577777777777778	0.0	225	DNA	split(DNA)
p53 core	1TSR	DNA_specialist	DNA	p53 core domain + response element DNA	0.33695652173913043	0.5754716981132075	0.29245283018867924	0.0	106	DNA	split(DNA)
Zif268 ZnF	1ZAA	DNA_specialist	DNA	Zif268 zinc finger + DNA	0.7074468085106383	0.2736318407960199	0.6616915422885572	0.0	201	DNA	split(DNA)
EcoRI	1ERI	DNA_specialist	DNA	EcoRI restriction enzyme + cognate DNA	0.3645833333333333	0.5258620689655172	0.3017241379310345	0.0	116	DNA	split(DNA)
BamHI	1BHM	DNA_specialist	DNA	BamHI restriction enzyme + DNA	0.5363321799307958	0.3806818181818182	0.4403409090909091	0.0	352	DNA	split(DNA)
TBP	1CDW	DNA_specialist	DNA	TATA-binding protein + TATA box DNA	0.5284552845528455	0.25327510917030566	0.2838427947598253	0.0	229	DNA	split(DNA)
Lac repressor	1EFA	DNA_specialist	DNA	Lac repressor + operator DNA	0.5	0.40559440559440557	0.40559440559440557	0.0	286	DNA	split(DNA)
Engrailed HD	1HDD	DNA_specialist	DNA	Engrailed homeodomain + DNA	0.3564356435643564	0.49242424242424243	0.2727272727272727	0.0	132	DNA	split(DNA)
Cro repressor	3CRO	DNA_specialist	DNA	Cro repressor + operator DNA	0.398876404494382	0.4692982456140351	0.31140350877192985	0.0	228	DNA	split(DNA)
EcoRV	1RVA	DNA_specialist	DNA	EcoRV restriction enzyme + DNA	0.41901408450704225	0.47277936962750716	0.34097421203438394	0.0	349	DNA	split(DNA)
